aba,1=阿爸
funile,1=服你了
feinimoshu,1=非你莫属
fenneizhishi,1=分内之事
fangniyima,1=放你一马
fodian,1=佛典
fodian,1=佛殿
fofa,1=佛法
foguang,1=佛光
foguo,1=佛国
fogu,1=佛骨
fohao,1=佛号
fojing,1=佛经
fojiao,1=佛教
fojia,1=佛家
fokan,1=佛龛
fomen,1=佛门
fosi,1=佛寺
fota,1=佛塔
fotang,1=佛堂
fotuo,1=佛陀
fotou,1=佛头
foshi,1=佛事
foshan,1=佛山
foshou,1=佛手
fozhu,1=佛珠
foxing,1=佛性
foxiang,1=佛像
foxue,1=佛学
foya,1=佛牙
foye,1=佛爷
foyu,1=佛语
fozu,1=佛祖
fengpeidaodi,1=奉陪到底
fanpuguizhen,1=返璞归真
fengpinglangjing,1=风平浪静
feipinlv,1=废品率
fapiqi,1=发脾气
feiqubuke,1=非去不可
fuqibenshitonglinniao,1=夫妻本是同林鸟
fuqidian,1=夫妻店
fanqidaoerxingzhi,1=反其道而行之
fanqidaoerxing,1=反其道而行
fuqiangfada,1=富强发达
feiqinfeigu,1=非亲非故
fanqianfanhou,1=饭前饭后
fenqifukuan,1=分期付款
fanqingfuming,1=反清复明
fuqifeipian,1=夫妻肺片
fengqiuhuang,1=凤求凰
fanqiejiang,1=番茄酱
feiqilai,1=飞起来
fangqile,1=放弃了
feiqilaile,1=飞起来了
fuqishuangshuang,1=夫妻双双
fenqinzhuhe,1=焚琴煮鹤
feiqizhong,1=肺气肿
fenqizhizhui,1=奋起直追
fengqizhixian,1=风气之先
fangqianwuhou,1=房前屋后
feiqingwujin,1=非请勿进
feiqingwuru,1=非请勿入
feiqiwu,1=废弃物
feiqinwangshi,1=废寝忘食
fengqingwanzhong,1=风情万种
fengqingyundan,1=风轻云淡
fuqiyichang,1=夫妻一场
feiqiyijiao,1=飞起一脚
fengqiyunyong,1=风起云涌
fengqiyinzi,1=封妻荫子
feiqinzoushou,1=飞禽走兽
fanrenbukemaoxiang,1=凡人不可貌相
furanbuyue,1=怫然不悦
furedai,1=副热带
furudonghai,1=福如东海
furendaxue,1=辅仁大学
fanrongfuqiang,1=繁荣富强
fanranhuiwu,1=幡然悔悟
fanrongchangsheng,1=繁荣昌盛
fengrenji,1=缝纫机
furujiezhi,1=妇孺皆知
furuningzhi,1=肤如凝脂
furongqigui,1=夫荣妻贵
fengruoshenming,1=奉若神明
farenshensi,1=发人深思
farenshenxing,1=发人深省
fengrenzhishuosanfenhua,1=逢人只说三分话
furenzhiren,1=妇人之仁
fangrenzhixinbukewu,1=防人之心不可无
fanranxingwu,1=幡然醒悟
fangrenziliu,1=放任自流
furanzuose,1=怫然作色
feisibuke,1=非死不可
fangsongfangsong,1=放松放松
feisijishang,1=非死即伤
fansile,1=烦死了
fansiren,1=烦死人
fengsurenqing,1=风俗人情
fasansiwei,1=发散思维
fengsousou,1=风嗖嗖
fengsuxiguan,1=风俗习惯
fasanxing,1=发散性
fentuburu,1=粪土不如
feitiandundi,1=飞天遁地
feitoudaer,1=肥头大耳
futangdaohuo,1=赴汤蹈火
feitongerxi,1=非同儿戏
fantianfudi,1=翻天覆地
feitongfanxiang,1=非同凡响
fengtianchengyun,1=奉天承运
fantanju,1=反贪局
futejia,1=伏特加
fentingkangli,1=分庭抗礼
fengturenqing,1=风土人情
fantairouyan,1=凡胎肉眼
fotouzhuofen,1=佛头着粪
fentianzhuhai,1=焚天煮海
fengtouzhengjing,1=风头正劲
fengtouzhengsheng,1=风头正盛
feitongxunchang,1=非同寻常
feitongxiaoke,1=非同小可
feitongyiban,1=非同一般
fengtangyilao,1=冯唐易老
fengtiaoyushun,1=风调雨顺
fantizi,1=繁体字
fuai,1=父爱
fuan,1=伏案
fubao,1=福报
fubai,1=腐败
fuben,1=副本
fubi,1=伏笔
fubing,1=伏兵
fubiao,1=附表
fubiao,1=浮标
feishuibuliuwairentian,1=肥水不流外人田
fubu,1=腹部
fubei,1=父辈
fuci,1=副词
fucong,1=服从
fudao,1=辅导
fudai,1=附带
fude,1=妇德
fanshandaohai,1=翻山倒海
fudi,1=府邸
fudi,1=福地
fudan,1=负担
fudian,1=浮点
fudiao,1=浮雕
fudong,1=浮动
fudu,1=幅度
fufa,1=复发
fufang,1=复方
fushoufujiao,1=缚手缚脚
fufan,1=复返
feishifeili,1=费时费力
fufu,1=夫妇
fenshenfashu,1=分身乏术
fufei,1=付费
fugao,1=腹稿
fugai,1=覆盖
fugen,1=副根
fangshenggechang,1=放声歌唱
fushouganweiruziniu,1=俯首甘为孺子牛
fuguo,1=富国
fugong,1=复工
fugu,1=复古
fugui,1=富贵
fugei,1=付给
fashengguanxi,1=发生关系
fuhao,1=符号
fuhe,1=符合
fuhan,1=复函
fuhan,1=富含
fuhuai,1=腐坏
fengshengheli,1=风声鹤唳
fuhuo,1=复活
fuhu,1=伏虎
fuhui,1=赴会
fuhei,1=腹黑
fuhua,1=孵化
fuhun,1=复婚
fuhou,1=附后
fucha,1=复查
fuchi,1=扶持
fushouchengchen,1=俯首称臣
fuchuang,1=浮窗
fuchong,1=俯冲
fuchu,1=付出
fuchou,1=复仇
fujin,1=附近
fuji,1=伏击
fujing,1=赴京
fengshenjunlang,1=丰神俊朗
fujian,1=福建
fujian,1=附件
fujiu,1=负疚
fenshijisu,1=愤世嫉俗
fushijieshi,1=俯拾皆是
fangshujiangwen,1=防暑降温
fujia,1=附加
fujun,1=夫君
fuke,1=妇科
fashankechen,1=乏善可陈
fukan,1=俯瞰
fukan,1=副刊
fukuang,1=富矿
fukuan,1=付款
fukui,1=浮亏
fukua,1=浮夸
fulin,1=富临
fulao,1=父老
fule,1=服了
fule,1=付了
fuli,1=福利
fulan,1=腐烂
fenshuiling,1=分水岭
fuling,1=涪陵
fulian,1=妇联
fuliao,1=辅料
fanshiliu,1=番石榴
fulu,1=俘虏
fengshuilunliuzhuan,1=风水轮流转
fulei,1=负累
fuma,1=驸马
fumin,1=富民
fuming,1=复命
fumian,1=负面
fumo,1=抚摸
fumie,1=覆灭
fumu,1=父母
fumei,1=赴美
funeng,1=赋能
funi,1=拂逆
funong,1=抚弄
funong,1=富农
fushuinanshou,1=覆水难收
funv,1=妇女
funv,1=父女
fupin,1=扶贫
fupai,1=复牌
fupi,1=麸皮
fupan,1=复盘
fuping,1=浮萍
fuping,1=抚平
fupiao,1=浮漂
fupo,1=富婆
fuqin,1=父亲
fuqi,1=夫妻
fuqing,1=付清
fuqiang,1=富强
fuqian,1=付钱
fuqian,1=肤浅
fuqiao,1=浮桥
fuquan,1=复权
fuquan,1=父权
fushouqitian,1=福寿齐天
furao,1=富饶
furen,1=夫人
furan,1=复燃
furan,1=怫然
fushengruomeng,1=浮生若梦
furuo,1=扶弱
furuan,1=服软
furong,1=芙蓉
furu,1=妇孺
fengshenruyu,1=丰神如玉
fuse,1=肤色
fenshensuigu,1=粉身碎骨
fusang,1=扶桑
fusi,1=赴死
fusong,1=附送
fusu,1=复苏
fusui,1=附随
futai,1=富态
fushoutieer,1=俯首帖耳
futi,1=附体
futi,1=扶梯
futan,1=复谈
futian,1=福田
futie,1=服帖
fenshitaiping,1=粉饰太平
futong,1=腹痛
futu,1=附图
futou,1=斧头
fushe,1=辐射
fushen,1=复审
fusheng,1=复生
fushang,1=负伤
fushi,1=腐蚀
fushi,1=服饰
fushan,1=釜山
fengshengshuiqi,1=风生水起
fushu,1=附属
fushui,1=赋税
fushun,1=抚顺
fushou,1=扶手
fuzhai,1=负债
fuzhe,1=扶着
fuzhe,1=覆辙
fuzhen,1=复诊
fuzheng,1=扶正
fuzhang,1=付账
fuzhang,1=腹胀
fuzhi,1=复制
fuzhuang,1=服装
fuzhuo,1=附着
fuzhong,1=浮肿
feishangzhitou,1=飞上枝头
fuzhu,1=辅助
fuzhou,1=福州
fuwen,1=讣文
fuweng,1=富翁
fuwang,1=覆亡
fuwang,1=父王
fushouwujiang,1=福寿无疆
fuwo,1=俯卧
fuwu,1=服务
fuwei,1=抚慰
fuwei,1=复位
fuxin,1=负心
fuxi,1=复习
fuxing,1=复兴
fangshexing,1=放射性
fuxiang,1=福相
fuxiang,1=浮想
fuxian,1=浮现
fuxiao,1=拂晓
fuxie,1=腹泻
fuxiu,1=腐朽
fuxuan,1=复选
fuxiong,1=父兄
fuxu,1=抚恤
fuxia,1=服下
fuya,1=府衙
fuyin,1=复印
fangshouyibo,1=放手一搏
fuyao,1=服药
fuye,1=副业
fuyang,1=抚养
fuyi,1=服役
fuyan,1=敷衍
fuying,1=妇婴
fanshanyueling,1=翻山越岭
fuyuan,1=复原
fuyong,1=服用
fuyue,1=赴约
fuyu,1=赋予
fuyu,1=富裕
fengshuangyuxue,1=风霜雨雪
fuyun,1=浮云
fuyou,1=富有
fuza,1=复杂
fuzao,1=浮躁
fuzai,1=负载
fuze,1=负责
fuzeng,1=附赠
fuzang,1=腑脏
fuzi,1=父子
fanshangzuoluan,1=犯上作乱
fuzuo,1=辅佐
fuzong,1=副总
fuzu,1=富足
feishazoushi,1=飞沙走石
fuzui,1=负罪
fuzui,1=服罪
fengzhucannian,1=风烛残年
fuzhudongliu,1=付诸东流
fanzhengfu,1=反政府
feizhengfu,1=非政府
feizhengfuzuzhi,1=非政府组织
fuzhiguo,1=父之过
fazhihua,1=法制化
fuzhaileilei,1=负债累累
feizhuliu,1=非主流
fuzhailv,1=负债率
fuzhuma,1=辅助码
fanzhiqishen,1=反治其身
fuzhongqianxing,1=负重前行
fangzhisihaierjiezhun,1=放之四海而皆准
fenzhitalai,1=纷至沓来
fuzhushijian,1=付诸实践
fangzhenzhengce,1=方针政策
fazhanzhongguojia,1=发展中国家
fengzhuzhinian,1=风烛之年
fazhanzhong,1=发展中
fuzhizhantie,1=复制粘贴
fengzhongzhizhu,1=风中之烛
fuzhongzhiyuan,1=负重致远
fuzhuxingdong,1=付诸行动
fuzhuxing,1=辅助性
fuzhixinling,1=福至心灵
fuzhuangxiemao,1=服装鞋帽
fuzhuixuanyou,1=附赘悬疣
fenzhiyi,1=分之一
fuzhiyiju,1=付之一炬
fenzhuangyuqi,1=粉妆玉砌
fanzhiyiran,1=反之亦然
fenzhuangyuzhuo,1=粉妆玉琢
fuzhengyizhuxiang,1=佛争一炷香
fuzhaizihuan,1=父债子还
feizhenzouxian,1=飞针走线
feiai,1=肺癌
feibao,1=飞报
feiben,1=飞奔
feibang,1=诽谤
feibi,1=非比
feibing,1=肺病
feibiao,1=飞镖
feibo,1=飞播
fenwenbuqu,1=分文不取
feibu,1=肺部
fenwenbuzhi,1=分文不值
feice,1=悱恻
feici,1=废词
feicui,1=翡翠
feida,1=肥大
feidao,1=飞到
feide,1=飞得
feidi,1=飞抵
feidan,1=非但
fangweidujian,1=防微杜渐
feidian,1=费电
feidian,1=沸点
feidiao,1=废掉
feidie,1=飞碟
feidu,1=飞渡
feidei,1=非得
feie,1=飞蛾
feifa,1=非法
feifen,1=非分
feifan,1=非凡
feifu,1=肺腑
feifei,1=狒狒
fangweiguodang,1=防卫过当
feige,1=飞鸽
fengweiguinie,1=奉为圭臬
feiguo,1=飞过
feigong,1=非公
feigu,1=腓骨
fawanghuihui,1=法网恢恢
feihuang,1=飞蝗
feihuan,1=匪患
feihong,1=绯红
feihui,1=飞回
feihua,1=废话
feihou,1=肥厚
feichao,1=匪巢
feichai,1=废柴
feichai,1=肥差
feiche,1=飞车
fuwocheng,1=俯卧撑
feicheng,1=费城
feichang,1=非常
feichi,1=飞驰
feichuan,1=飞船
feichong,1=飞虫
feichu,1=废除
feijin,1=费劲
feiji,1=飞机
feijing,1=非经
feijian,1=飞剑
feijian,1=飞溅
feijian,1=飞键
feijiao,1=吠叫
feijie,1=费解
feijiu,1=废旧
fawaikaien,1=法外开恩
feikuai,1=飞快
fengweikaimo,1=奉为楷模
feilao,1=肺痨
feilai,1=飞来
feile,1=费了
feile,1=废了
feile,1=飞了
feili,1=费力
fanwuleqingqingxingming,1=反误了卿卿性命
feiliao,1=肥料
feiluo,1=飞落
feiliu,1=飞流
feilong,1=飞龙
feilue,1=飞掠
feilv,1=费率
feiwuliyong,1=废物利用
feima,1=飞马
feimo,1=飞沫
feimei,1=肥美
feinen,1=肥嫩
feini,1=肥腻
feinan,1=非难
feiniao,1=飞鸟
feiniu,1=肥牛
feipin,1=废品
feipao,1=飞跑
feipang,1=肥胖
feipan,1=飞盘
feipiao,1=废票
feipo,1=肥婆
feipu,1=飞瀑
feiqin,1=飞禽
feiqi,1=废弃
fuwuqi,1=服务器
feiqian,1=费钱
feiqiu,1=飞球
feique,1=肥缺
feiqu,1=飞去
feiren,1=废人
feiren,1=飞人
fanwenrujie,1=繁文缛节
fangweirenshangren,1=方为人上人
feirou,1=肥肉
feisa,1=飞洒
feisan,1=飞散
feisuo,1=飞梭
feisu,1=飞速
feiteng,1=沸腾
feiting,1=飞艇
feitian,1=飞天
feitie,1=废铁
feitong,1=非同
feitu,1=匪徒
feitui,1=飞腿
feitun,1=肥臀
feishen,1=费神
feisheng,1=飞升
feishang,1=飞上
feishi,1=费事
feishi,1=费时
feishi,1=飞逝
feishuang,1=飞霜
feishuo,1=肥硕
feishui,1=废水
fuwushuangzhi,1=福无双至
feishou,1=肥瘦
feizha,1=废渣
feizhe,1=飞着
feizhang,1=飞涨
feizhi,1=废纸
feizhuang,1=肥壮
fangwaizhiren,1=方外之人
feizhu,1=肥猪
feizhou,1=非洲
feiwen,1=绯闻
feiwang,1=飞往
feiwo,1=肥沃
feiwu,1=废物
feiwu,1=飞舞
feixin,1=费心
feixing,1=飞行
fuwuxing,1=服务性
feixiang,1=飞翔
feixie,1=飞泻
feixuan,1=飞旋
feixue,1=飞雪
feixu,1=废墟
feiyao,1=非要
feiye,1=扉页
feiyang,1=飞扬
feiyi,1=非议
feiyan,1=肺炎
fuwuyuan,1=服务员
feiyong,1=费用
feiyue,1=飞跃
feiyu,1=飞鱼
feiyun,1=飞云
feiyou,1=费油
feizao,1=肥皂
feizang,1=肺脏
feizi,1=妃子
feiwozulei,1=非我族类
fengwenzoushi,1=风闻奏事
feizei,1=飞贼
feizou,1=飞走
fangxinanxu,1=芳心暗许
fengxiangbiao,1=风向标
fangxinbuxia,1=放心不下
fanxingdiandian,1=繁星点点
fanxiangdaogui,1=翻箱倒柜
faxiangdi,1=发祥地
fuxinduoshidushuren,1=负心多是读书人
fuxiuerqu,1=拂袖而去
feixinfeili,1=费心费力
fuxifuxi,1=复习复习
fengxiangongdan,1=风险共担
fangxianggan,1=方向感
fuxinggaozhao,1=福星高照
fuxihuosuofu,1=福兮祸所伏
fengxionghuaji,1=逢凶化吉
fuxujin,1=抚恤金
fuxinjiuhuo,1=负薪救火
fengxuejiaojia,1=风雪交加
faxuejia,1=法学家
feixingjun,1=飞行军
fenxianglibai,1=焚香礼拜
faxianle,1=发现了
fuxianglianpian,1=浮想联翩
fanxingmantian,1=繁星满天
fenxiangmuyu,1=焚香沐浴
fangxiangpan,1=方向盘
fuxianruyi,1=赴险如夷
faxisi,1=法西斯
fanxingsijin,1=繁星似锦
fangxiatudao,1=放下屠刀
fengxiantouzi,1=风险投资
fanxinshi,1=烦心事
fangxingweiai,1=方兴未艾
faxianwenti,1=发现问题
fengxiaoxiaoxiyishuihan,1=风萧萧兮易水寒
fangxiangxing,1=方向性
fengxiaoxiao,1=风萧萧
feixingyuan,1=飞行员
faxueyuan,1=法学院
fengxingyishi,1=风行一时
fuxinziwen,1=抚心自问
fenyibeigeng,1=分一杯羹
fengyunbianhuan,1=风云变幻
feiyangbahu,1=飞扬跋扈
fuyoubaojian,1=妇幼保健
fanyingbuguolai,1=反应不过来
fangyibian,1=放一边
fuyunbiri,1=浮云蔽日
fengyubutou,1=风雨不透
fayangcai,1=发洋财
fanyici,1=反义词
fuyidabai,1=浮一大白
fayuandi,1=发源地
fenyongdangxian,1=奋勇当先
fengyongerlai,1=蜂拥而来
fengyongerru,1=蜂拥而入
fengyongershang,1=蜂拥而上
fengyongerzhi,1=蜂拥而至
fanyifan,1=翻一番
fuyongfengya,1=附庸风雅
fengyanfengyu,1=风言风语
fanyunfuyu,1=翻云覆雨
fayangao,1=发言稿
fayangguangda,1=发扬光大
fayige,1=发一个
fanyingguolai,1=反应过来
fuyouhandashu,1=蜉蝣撼大树
fuyouchengxiao,1=富有成效
fengyunjihui,1=风云际会
fengyujiancheng,1=风雨兼程
fengyujiaojia,1=风雨交加
fuyinjian,1=复印件
foyaojinzhuang,1=佛要金装
fanyingle,1=反映了
fuyuanliaokuo,1=幅员辽阔
fuyanliaoshi,1=敷衍了事
fengyupiaoyao,1=风雨飘摇
fayanquan,1=发言权
fayanren,1=发言人
feiyirizhigong,1=非一日之功
feiyirizhihan,1=非一日之寒
fengyurupan,1=风雨如磐
fengyunrenwu,1=风云人物
feiyeside,1=飞也似的
fengyansiqi,1=烽烟四起
feiyisuosi,1=匪夷所思
fuyanseze,1=敷衍塞责
fengyuntubian,1=风云突变
fengyutongzhou,1=风雨同舟
fuyoushishuqizihua,1=腹有诗书气自华
fuyoushengwu,1=浮游生物
fanyanshengxi,1=繁衍生息
fuyangshengzi,1=俯仰生姿
fuyangzhijian,1=俯仰之间
fuyaozhishang,1=扶摇直上
fengyuewubian,1=风月无边
fuyuwankang,1=负隅顽抗
fuyaowanli,1=扶摇万里
fuyanwo,1=敷衍我
fanyiweirong,1=反以为荣
fengyuwuzu,1=风雨无阻
fuyuxuci,1=浮语虚辞
fangyuxing,1=防御性
fengyunyoucun,1=风韵犹存
fanyaoyikou,1=反咬一口
feiyanzoubi,1=飞檐走壁
fengyizushi,1=丰衣足食
fanzaobuan,1=烦躁不安
fangzongbuji,1=放纵不羁
fanzaobuyi,1=烦躁不已
fouzedehua,1=否则的话
fouding,1=否定
fazifeifu,1=发自肺腑
fanzuifenzi,1=犯罪分子
fuzuigan,1=负罪感
fengzichenghun,1=奉子成婚
fengzichuoyue,1=风姿绰约
foujue,1=否决
fanzuilv,1=犯罪率
fazineixin,1=发自内心
fanzuiqianke,1=犯罪前科
fouren,1=否认
fuzeren,1=负责人
fuzaishenshanyouyuanqin,1=富在深山有远亲
fuzaxing,1=复杂性
fozuxinzhongliu,1=佛祖心中留
fangzaixinshang,1=放在心上
fangzaiyanli,1=放在眼里
fuzuoyong,1=副作用
fouze,1=否则
gaba,1=嘎巴
gabeng,1=嘎嘣
gonganfenju,1=公安分局
gaga,1=嘎嘎
ganaiganhen,1=敢爱敢恨
geanguanhuo,1=隔岸观火
gacha,1=轧差
guaiji,1=古埃及
gonganju,1=公安局
gala,1=旮旯
gali,1=咖喱
gama,1=伽马
gana,1=戛纳
gaoaipangshou,1=高矮胖瘦
garan,1=嘎然
gangaotai,1=港澳台
geantianming,1=各安天命
gazhang,1=轧账
gazhi,1=嘎吱
gouanyiyu,1=苟安一隅
gaza,1=曱甴
gaoaozida,1=高傲自大
ganbaba,1=干巴巴
gubabilun,1=古巴比伦
ganbucongming,1=敢不从命
gabengcui,1=嘎嘣脆
ganbacun,1=干坝村
guaibude,1=怪不得
gongbudiguo,1=功不抵过
gaobuding,1=搞不定
gaobudong,1=搞不懂
guangbodiantai,1=广播电台
guabudizhong,1=寡不敌众
gebendongxi,1=各奔东西
gaibufuze,1=概不负责
gaibugai,1=该不该
ganbugan,1=敢不敢
guaibuguai,1=怪不怪
gubuguolai,1=顾不过来
guibugui,1=贵不贵
geibugei,1=给不给
gaobugaoxing,1=高不高兴
goubugou,1=够不够
gaobuhao,1=搞不好
gebenhagen,1=哥本哈根
ganbahuangdilaxiama,1=敢把皇帝拉下马
gaobucheng,1=高不成
gongbaichuicheng,1=功败垂成
gaobuchengdibujiu,1=高不成低不就
gongbaojiding,1=宫保鸡丁
ganbuji,1=赶不及
guobukeyiriwujun,1=国不可一日无君
gongbukemei,1=功不可没
gengbukeneng,1=更不可能
gaobukepan,1=高不可攀
gebalibai,1=个把礼拜
guanbuliao,1=管不了
gebumen,1=各部门
guanbiminfan,1=官逼民反
gengbuneng,1=更不能
gebaini,1=哥白尼
gubenpeiyuan,1=固本培元
gaobuqingchu,1=搞不清楚
gaobuqing,1=搞不清
guobuqiran,1=果不其然
guobuqu,1=过不去
gongbaosichou,1=公报私仇
gengbieti,1=更别提
gebitan,1=戈壁滩
gaobantian,1=搞半天
genbushang,1=跟不上
ganbushang,1=赶不上
gengbieshuo,1=更别说
guanbuzhao,1=管不着
gebozhouwangwaiguai,1=胳膊肘往外拐
guanbaozhijiao,1=管鲍之交
gaobiaozhunyanyaoqiu,1=高标准严要求
gebazhongtou,1=个把钟头
guanbuzhu,1=管不住
guanbeizhixiao,1=官卑职小
gaobiaozhun,1=高标准
gebozhou,1=胳膊肘
ganbaixiafeng,1=甘拜下风
guibuxianggui,1=鬼不像鬼
guibaxi,1=鬼把戏
gebaxingqi,1=个把星期
gebuxiangrang,1=各不相让
gebuxiangtong,1=各不相同
gebaxiaoshi,1=个把小时
gaibianxianzhuang,1=改变现状
gangbiya,1=冈比亚
guobayin,1=过把瘾
gongbuyingqiu,1=供不应求
gebayue,1=个把月
gengbuyongshuo,1=更不用说
gubuyizhen,1=故布疑阵
genbenyuanyin,1=根本原因
gubuzifeng,1=故步自封
guangbangzi,1=光膀子
gangbiziyong,1=刚愎自用
gaoang,1=高昂
gaoai,1=高矮
gaoao,1=高傲
gaobai,1=告白
gaoben,1=稿本
gongceban,1=公测版
gaobing,1=糕饼
gaobie,1=告别
gaobei,1=高倍
gaoceng,1=高层
gaoci,1=告辞
gaocan,1=高参
gaocuo,1=搞错
gaoda,1=高大
gaodao,1=搞到
gaode,1=搞得
gaode,1=搞的
gaodeng,1=高等
gaodang,1=高档
gaodi,1=高低
gaoding,1=搞定
gaodian,1=糕点
guangcaiduomu,1=光彩夺目
gaodian,1=搞掂
gaodiao,1=高调
gaodiu,1=搞丢
gaoduan,1=高端
gaodong,1=搞懂
gaodu,1=高度
gaoe,1=高额
gaoer,1=高二
gaofa,1=告发
gaofen,1=高分
gaofeng,1=高峰
gaofang,1=高仿
gaofu,1=告负
gaofei,1=高飞
gaofei,1=稿费
gaogao,1=高高
gaoge,1=高歌
gaogen,1=高跟
gaogang,1=高岗
gaogan,1=高干
gaoguai,1=搞怪
gaoguang,1=高光
gaoguo,1=高过
gaoguan,1=高管
gaoguan,1=高官
gaogong,1=高工
gaogu,1=高估
gaogui,1=高贵
gaogui,1=搞鬼
gaogua,1=高挂
gaohao,1=搞好
gaohan,1=高喊
gaohuai,1=搞坏
gaohuang,1=膏肓
gaohuo,1=搞活
gaohu,1=高呼
gaohun,1=搞混
gaochao,1=高潮
gaochao,1=高超
gaocheng,1=搞成
gaochang,1=高唱
gaochan,1=高产
gaochu,1=高处
gaochui,1=告吹
gaochou,1=稿酬
gaoji,1=高级
gaojian,1=稿件
gaojiao,1=高叫
gaojie,1=告诫
gaojiu,1=高就
gaoju,1=高举
gaoju,1=高居
gaojia,1=高价
gaokao,1=高考
gaokai,1=高开
gaokang,1=高亢
gaokan,1=高看
gaokong,1=高空
gaokua,1=搞垮
gaole,1=高了
gaocuole,1=搞错了
gaoleng,1=高冷
gaoli,1=高丽
gaoling,1=高领
gaoling,1=高龄
gaoliang,1=高亮
gaoliang,1=高粱
gaoluan,1=搞乱
gaolun,1=高论
gaolou,1=高楼
gaomao,1=高帽
gaomi,1=告密
gaoming,1=高明
gaomiao,1=高妙
gaoneng,1=高能
gaonan,1=高难
gaopin,1=高频
gaopao,1=高炮
gaopan,1=高攀
gaopiao,1=高票
gaopo,1=告破
gaopei,1=高配
gaoqing,1=高清
gaoqing,1=搞清
gaoqiang,1=高强
gaoqiao,1=高跷
gaorao,1=告饶
gaoren,1=高人
gaoseng,1=高僧
gaosi,1=搞死
gaosan,1=高三
gaosong,1=高耸
gaosu,1=告诉
gaosu,1=高速
gaotai,1=高台
gaotang,1=高汤
gaotan,1=高谈
gaotiao,1=高挑
gaotie,1=高铁
gaotong,1=搞通
gaotu,1=高徒
gaotui,1=告退
gaotou,1=搞头
gucishibi,1=顾此失彼
gaoshao,1=高烧
gaoshe,1=高射
gaoshen,1=高深
gaosheng,1=高声
gaocaisheng,1=高才生
gaoshang,1=高尚
gaoshi,1=告示
gaoshan,1=高山
gaoshuang,1=高爽
guocongshenmi,1=过从甚密
gaoshu,1=高数
gaoshou,1=高手
gaozhao,1=高招
gaozhen,1=高枕
gaozhang,1=高涨
gaozhi,1=告知
gaozhuang,1=告状
guangcaizhaoren,1=光彩照人
gaozhong,1=高中
gaozhu,1=高筑
gaowen,1=高温
gaowan,1=睾丸
gaowei,1=高位
gaoxin,1=高薪
gaoxin,1=高新
gaoxi,1=高息
gaoxing,1=高兴
gaoxiang,1=高香
gaoxiao,1=搞笑
gaoxiao,1=高效
gaoxie,1=高些
gaoxuan,1=高悬
gaoxiong,1=高雄
gaoxue,1=膏血
gaoxia,1=高下
gaoya,1=高雅
gaoyin,1=高音
gaoyao,1=膏药
gaoyang,1=羔羊
gaoyi,1=高一
gaoyuan,1=高原
gaoyue,1=稿约
gaoyu,1=高于
gaoyou,1=膏油
gaoza,1=搞砸
gaoze,1=膏泽
gaozang,1=搞脏
gaozi,1=稿子
gaozu,1=高祖
gaozui,1=告罪
gaozou,1=高走
gaozou,1=高奏
gaodanbai,1=高蛋白
gaibang,1=丐帮
gaiban,1=改版
gaibian,1=改变
gaibian,1=改编
gaodibuping,1=高低不平
goudouburu,1=狗都不如
goudanbaotian,1=狗胆包天
gaibu,1=盖布
gaibei,1=盖被
gandongbuyi,1=感动不已
gaici,1=盖茨
gaicuo,1=改错
gaida,1=该打
gaidao,1=改道
gaidang,1=该当
gaidi,1=该地
gaidiao,1=改掉
gaidong,1=改动
gaidui,1=该队
gaifang,1=盖房
gaifan,1=盖饭
gaigao,1=改稿
gaigai,1=改改
gaige,1=改革
gaodiguijian,1=高低贵贱
gaiguo,1=改过
gaiguan,1=改观
gaodonggaoxi,1=搞东搞西
gaihao,1=改好
gaihang,1=改行
gaihuai,1=改坏
gaihuan,1=改换
gengdaiheshi,1=更待何时
gaihui,1=改回
gaihua,1=钙化
gaidanghezui,1=该当何罪
gaicheng,1=改成
gedichengchen,1=割地称臣
gengduchuanjia,1=耕读传家
gudichongyou,1=故地重游
gaijin,1=改进
gaijian,1=改建
gaijia,1=改嫁
gaodengjiaoyu,1=高等教育
gaikuang,1=概况
gaikuo,1=概括
gaikou,1=改口
gaile,1=改了
gailan,1=概览
gailiang,1=改良
gailian,1=盖脸
gailue,1=概略
gailv,1=概率
gailun,1=概论
guangdaleibuxiayu,1=光打雷不下雨
gailou,1=盖楼
gaimao,1=盖帽
gaiman,1=盖满
gaiming,1=改名
gongdunanguan,1=共渡难关
gaini,1=该你
gainian,1=概念
guadipi,1=刮地皮
gaipan,1=改判
gedipeikuan,1=割地赔款
gaipian,1=钙片
gaodiqifu,1=高低起伏
gaiqi,1=改期
gendaqi,1=跟打器
gaiqian,1=改签
gedeqisuo,1=各得其所
guodequ,1=过得去
gairi,1=改日
gudaorechang,1=古道热肠
gundaorou,1=滚刀肉
gaise,1=改色
gaisi,1=该死
gandongsile,1=感动死了
gaisuan,1=概算
gaita,1=该他
gaitian,1=改天
gaitou,1=盖头
guangdongsheng,1=广东省
gaishang,1=盖上
gendeshang,1=跟得上
gaishi,1=盖世
gaishan,1=改善
gaishuo,1=该说
gaishu,1=概述
gaizhe,1=盖着
gaizheng,1=改正
gaizhang,1=盖章
gaizhi,1=改制
gaizhuang,1=改装
gaizhu,1=盖住
gaizhui,1=改锥
gudianzhuyi,1=古典主义
gangdingzhizuo,1=扛鼎之作
gedawushidaban,1=各打五十大板
gongdewuliang,1=功德无量
gaiwo,1=该我
gaiwei,1=改为
gudianwenxue,1=古典文学
gaixing,1=改性
gaixing,1=改姓
